age,work-class,occupation,sex,hours-pw,income-level
39, State-gov, Adm-clerical, Male,40, <=50K
50, Self-emp-not-inc, Exec-managerial, Male,13, <=50K
38, Private, Handlers-cleaners, Male,40, <=50K
53, Private, Handlers-cleaners, Male,40, <=50K
28, Private, Prof-specialty, Female,40, <=50K
37, Private, Exec-managerial, Female,40, <=50K
49, Private, Other-service, Female,16, <=50K
52, Self-emp-not-inc, Exec-managerial, Male,45, >50K
31, Private, Prof-specialty, Female,50, >50K
42, Private, Exec-managerial, Male,40, >50K
37, Private, Exec-managerial, Male,80, >50K
30, State-gov, Prof-specialty, Male,40, >50K
23, Private, Adm-clerical, Female,30, <=50K
32, Private, Sales, Male,50, <=50K
40, Private, Craft-repair, Male,40, >50K
34, Private, Transport-moving, Male,45, <=50K
25, Self-emp-not-inc, Farming-fishing, Male,35, <=50K
32, Private, Machine-op-inspct, Male,40, <=50K
38, Private, Sales, Male,50, <=50K
43, Self-emp-not-inc, Exec-managerial, Female,45, >50K
40, Private, Prof-specialty, Male,60, >50K
54, Private, Other-service, Female,20, <=50K
35, Federal-gov, Farming-fishing, Male,40, <=50K
43, Private, Transport-moving, Male,40, <=50K
59, Private, Tech-support, Female,40, <=50K
56, Local-gov, Tech-support, Male,40, >50K
19, Private, Craft-repair, Male,40, <=50K
39, Private, Exec-managerial, Male,80, <=50K
49, Private, Craft-repair, Male,40, <=50K
23, Local-gov, Protective-serv, Male,52, <=50K
20, Private, Sales, Male,44, <=50K
45, Private, Exec-managerial, Male,40, <=50K
30, Federal-gov, Adm-clerical, Male,40, <=50K
22, State-gov, Other-service, Male,15, <=50K
48, Private, Machine-op-inspct, Male,40, <=50K
21, Private, Machine-op-inspct, Male,40, <=50K
19, Private, Adm-clerical, Female,25, <=50K
31, Private, Sales, Male,38, >50K
48, Self-emp-not-inc, Prof-specialty, Male,40, <=50K
31, Private, Machine-op-inspct, Male,43, <=50K
53, Self-emp-not-inc, Prof-specialty, Male,40, <=50K
24, Private, Tech-support, Male,50, <=50K
